,Price,Seqno,Symbol,time
0,1623,0,APPL,1473411962.0
1,1623,0,APPL,1473411962.0
2,1623,0,APPL,1473411963.0
3,1623,0,APPL,1473411963.0
4,1649,1,APPL,1473411963.0
5,1649,1,APPL,1473411963.0
6,1649,1,APPL,1473411964.0
7,1649,1,APPL,1473411964.0
8,1642,2,APPL,1473411964.0
9,1642,2,APPL,1473411964.0
10,1642,2,APPL,1473411965.0
11,1642,2,APPL,1473411965.0
12,1636,3,APPL,1473411965.0
13,1636,3,APPL,1473411965.0
14,1636,3,APPL,1473411966.0
15,1636,3,APPL,1473411966.0
16,1669,4,APPL,1473411966.0
17,1669,4,APPL,1473411966.0
18,1669,4,APPL,1473411967.0
19,1669,4,APPL,1473411967.0
20,1639,5,APPL,1473411967.0
21,1639,5,APPL,1473411967.0
22,1639,5,APPL,1473411968.0
23,1639,5,APPL,1473411968.0
24,1611,6,APPL,1473411968.0
25,1611,6,APPL,1473411968.0
26,1611,6,APPL,1473411969.0
27,1611,6,APPL,1473411969.0
28,1660,7,APPL,1473411969.0
29,1660,7,APPL,1473411969.0
30,1660,7,APPL,1473411969.0
31,1660,7,APPL,1473411970.0
32,1657,8,APPL,1473411970.0
33,1657,8,APPL,1473411970.0
34,1657,8,APPL,1473411971.0
35,1657,8,APPL,1473411971.0
36,1509,9,APPL,1473411971.0
37,1509,9,APPL,1473411971.0
38,1509,9,APPL,1473411972.0
39,1509,9,APPL,1473411972.0
40,1514,10,APPL,1473411972.0
41,1514,10,APPL,1473411972.0
42,1514,10,APPL,1473411972.0
43,1514,10,APPL,1473411973.0
44,1676,11,APPL,1473411973.0
45,1676,11,APPL,1473411973.0
46,1676,11,APPL,1473411974.0
47,1676,11,APPL,1473411974.0
48,1596,12,APPL,1473411974.0
49,1596,12,APPL,1473411974.0
50,1596,12,APPL,1473411974.0
51,1596,12,APPL,1473411975.0
52,1527,13,APPL,1473411975.0
53,1527,13,APPL,1473411975.0
54,1527,13,APPL,1473411975.0
55,1527,13,APPL,1473411975.0
56,1643,14,APPL,1473411976.0
57,1643,14,APPL,1473411976.0
58,1643,14,APPL,1473411976.0
59,1643,14,APPL,1473411976.0
60,1632,15,APPL,1473411977.0
61,1632,15,APPL,1473411977.0
62,1632,15,APPL,1473411977.0
63,1632,15,APPL,1473411977.0
64,1595,16,APPL,1473411978.0
65,1595,16,APPL,1473411978.0
66,1595,16,APPL,1473411978.0
67,1595,16,APPL,1473411979.0
68,1565,17,APPL,1473411979.0
69,1565,17,APPL,1473411979.0
70,1565,17,APPL,1473411979.0
71,1565,17,APPL,1473411979.0
72,1521,18,APPL,1473411980.0
73,1521,18,APPL,1473411980.0
74,1521,18,APPL,1473411980.0
75,1521,18,APPL,1473411980.0
76,1501,19,APPL,1473411981.0
77,1501,19,APPL,1473411981.0
78,1501,19,APPL,1473411982.0
79,1501,19,APPL,1473411982.0
80,1579,20,APPL,1473411982.0
81,1579,20,APPL,1473411982.0
82,1579,20,APPL,1473411982.0
83,1579,20,APPL,1473411983.0
84,1511,21,APPL,1473411983.0
85,1511,21,APPL,1473411983.0
86,1511,21,APPL,1473411983.0
87,1511,21,APPL,1473411983.0
88,1513,22,APPL,1473411984.0
89,1513,22,APPL,1473411984.0
90,1513,22,APPL,1473411984.0
91,1513,22,APPL,1473411985.0
92,1687,23,APPL,1473411985.0
93,1687,23,APPL,1473411985.0
94,1687,23,APPL,1473411985.0
95,1687,23,APPL,1473411986.0
96,1539,24,APPL,1473411986.0
97,1539,24,APPL,1473411986.0
98,1539,24,APPL,1473411987.0
99,1539,24,APPL,1473411987.0
100,1682,25,APPL,1473411987.0
101,1682,25,APPL,1473411987.0
102,1682,25,APPL,1473411988.0
103,1682,25,APPL,1473411988.0
104,1534,26,APPL,1473411988.0
105,1534,26,APPL,1473411988.0
106,1534,26,APPL,1473411988.0
107,1534,26,APPL,1473411989.0
108,1628,27,APPL,1473411989.0
109,1628,27,APPL,1473411989.0
110,1628,27,APPL,1473411990.0
111,1628,27,APPL,1473411990.0
112,1582,28,APPL,1473411990.0
113,1582,28,APPL,1473411990.0
114,1582,28,APPL,1473411990.0
115,1582,28,APPL,1473411991.0
116,1540,29,APPL,1473411991.0
117,1540,29,APPL,1473411991.0
118,1540,29,APPL,1473411991.0
119,1540,29,APPL,1473411991.0
120,1631,30,APPL,1473411992.0
121,1631,30,APPL,1473411992.0
122,1631,30,APPL,1473411992.0
123,1631,30,APPL,1473411992.0
124,1541,31,APPL,1473411993.0
125,1541,31,APPL,1473411993.0
126,1541,31,APPL,1473411993.0
127,1541,31,APPL,1473411994.0
128,1593,32,APPL,1473411994.0
129,1593,32,APPL,1473411994.0
130,1593,32,APPL,1473411995.0
131,1593,32,APPL,1473411995.0
132,1578,33,APPL,1473411995.0
133,1578,33,APPL,1473411996.0
134,1578,33,APPL,1473411996.0
135,1578,33,APPL,1473411996.0
136,1522,34,APPL,1473411996.0
137,1522,34,APPL,1473411996.0
138,1522,34,APPL,1473411996.0
139,1522,34,APPL,1473411997.0
140,1543,35,APPL,1473411997.0
141,1543,35,APPL,1473411997.0
142,1543,35,APPL,1473411998.0
143,1543,35,APPL,1473411998.0
144,1668,36,APPL,1473411998.0
145,1668,36,APPL,1473411998.0
146,1668,36,APPL,1473411999.0
147,1668,36,APPL,1473411999.0
148,1517,37,APPL,1473411999.0
149,1517,37,APPL,1473411999.0
150,1517,37,APPL,1473411999.0
151,1517,37,APPL,1473412000.0
152,1573,38,APPL,1473412000.0
153,1573,38,APPL,1473412000.0
154,1573,38,APPL,1473412000.0
155,1573,38,APPL,1473412000.0
156,1638,39,APPL,1473412001.0
157,1638,39,APPL,1473412001.0
158,1638,39,APPL,1473412002.0
159,1638,39,APPL,1473412002.0
160,1687,40,APPL,1473412002.0
161,1687,40,APPL,1473412002.0
162,1687,40,APPL,1473412002.0
163,1687,40,APPL,1473412002.0
164,1662,41,APPL,1473412003.0
165,1662,41,APPL,1473412003.0
166,1662,41,APPL,1473412003.0
167,1662,41,APPL,1473412004.0
168,1593,42,APPL,1473412004.0
169,1593,42,APPL,1473412005.0
170,1593,42,APPL,1473412005.0
171,1593,42,APPL,1473412005.0
172,1650,43,APPL,1473412005.0
173,1650,43,APPL,1473412005.0
174,1650,43,APPL,1473412006.0
175,1650,43,APPL,1473412006.0
176,1683,44,APPL,1473412006.0
177,1683,44,APPL,1473412006.0
178,1683,44,APPL,1473412006.0
179,1683,44,APPL,1473412006.0
180,1612,45,APPL,1473412007.0
181,1612,45,APPL,1473412007.0
182,1612,45,APPL,1473412007.0
183,1612,45,APPL,1473412008.0
184,1698,46,APPL,1473412008.0
185,1698,46,APPL,1473412008.0
186,1698,46,APPL,1473412008.0
187,1698,46,APPL,1473412008.0
188,1553,47,APPL,1473412009.0
189,1553,47,APPL,1473412009.0
190,1553,47,APPL,1473412009.0
191,1553,47,APPL,1473412010.0
192,1674,48,APPL,1473412010.0
193,1674,48,APPL,1473412010.0
194,1674,48,APPL,1473412010.0
195,1674,48,APPL,1473412010.0
196,1677,49,APPL,1473412011.0
197,1677,49,APPL,1473412011.0
198,1677,49,APPL,1473412012.0
199,1677,49,APPL,1473412012.0
200,1635,50,APPL,1473412012.0
201,1635,50,APPL,1473412012.0
202,1635,50,APPL,1473412012.0
203,1635,50,APPL,1473412012.0
204,1531,51,APPL,1473412013.0
205,1531,51,APPL,1473412013.0
206,1531,51,APPL,1473412013.0
207,1531,51,APPL,1473412014.0
208,1621,52,APPL,1473412014.0
209,1621,52,APPL,1473412014.0
210,1621,52,APPL,1473412014.0
211,1621,52,APPL,1473412015.0
212,1614,53,APPL,1473412015.0
213,1614,53,APPL,1473412015.0
